Detector CUDA experiment: train=10650 val=1332 size=960
Epoch 3/6 batch 4600/5325 loss=0.65371 elapsed=677.6s
Epoch 3/6 batch 4700/5325 loss=0.65462 elapsed=698.4s
Epoch 3/6 batch 4800/5325 loss=0.65418 elapsed=713.6s
Epoch 3/6 batch 4900/5325 loss=0.65406 elapsed=728.7s
Epoch 3/6 batch 5000/5325 loss=0.65378 elapsed=744.6s
Epoch 3/6 batch 5100/5325 loss=0.65326 elapsed=759.5s
Epoch 3/6 batch 5200/5325 loss=0.65380 elapsed=774.5s
Epoch 3/6 batch 5300/5325 loss=0.65494 elapsed=790.1s
{"epoch": 3, "train_loss": 0.6544673783391575, "images": 1332, "threshold": 0.5699999999999998, "exact_count_accuracy": 0.2905405405405405, "within_one_accuracy": 0.4286786786786787, "mean_absolute_error": 15.484984984984985, "root_mean_squared_error": 45.632853925185934, "mean_signed_error": -12.65015015015015, "total_true": 206171, "total_predicted": 189321, "seconds": 886.2151592000009}
Epoch 4/6 batch 1/5325 loss=0.43276 elapsed=17.4s
Epoch 4/6 batch 100/5325 loss=0.64635 elapsed=32.7s
Epoch 4/6 batch 200/5325 loss=0.64899 elapsed=47.6s
Epoch 4/6 batch 300/5325 loss=0.61729 elapsed=63.1s
Epoch 4/6 batch 400/5325 loss=0.61544 elapsed=78.0s
Epoch 4/6 batch 500/5325 loss=0.61474 elapsed=93.1s
Epoch 4/6 batch 600/5325 loss=0.62539 elapsed=108.6s
Epoch 4/6 batch 700/5325 loss=0.61827 elapsed=123.3s
Epoch 4/6 batch 800/5325 loss=0.61865 elapsed=138.2s
Epoch 4/6 batch 900/5325 loss=0.62099 elapsed=153.1s
Epoch 4/6 batch 1000/5325 loss=0.62030 elapsed=167.9s
Epoch 4/6 batch 1100/5325 loss=0.62428 elapsed=182.8s
Epoch 4/6 batch 1200/5325 loss=0.63115 elapsed=198.2s
Epoch 4/6 batch 1300/5325 loss=0.63271 elapsed=213.3s
Epoch 4/6 batch 1400/5325 loss=0.63716 elapsed=229.3s
Epoch 4/6 batch 1500/5325 loss=0.63870 elapsed=244.4s
Epoch 4/6 batch 1600/5325 loss=0.64258 elapsed=262.6s
Epoch 4/6 batch 1700/5325 loss=0.64449 elapsed=280.1s
Epoch 4/6 batch 1800/5325 loss=0.64470 elapsed=296.6s
Epoch 4/6 batch 1900/5325 loss=0.64280 elapsed=311.6s
Epoch 4/6 batch 2000/5325 loss=0.64073 elapsed=326.5s
Epoch 4/6 batch 2100/5325 loss=0.64190 elapsed=341.5s
Epoch 4/6 batch 2200/5325 loss=0.64101 elapsed=357.7s
Epoch 4/6 batch 2300/5325 loss=0.63815 elapsed=373.0s
Epoch 4/6 batch 2400/5325 loss=0.64095 elapsed=388.0s
